name,country,sq1
Mikhail Sautkin (Михаил Сауткин),Russia,759
Chris Yoder,USA,759
Hannah Minas,Switzerland,759
Tim Vergeer,Netherlands,759
Ludvig Nilsson,Sweden,758
Boqin Zhao (赵博钦),China,758
Zoë Zwanepol,Netherlands,758
Maxim Volkov (Максим Волков),Russia,758
Maheran Chowdhury,Australia,758
Phan Trọng Nghĩa,Vietnam,758
Taine Cassar,Australia,758
Aleksander Kołodziński,Poland,758
Brandon Harnish,USA,757
Huston Vu-Duc,Russia,757
Zuhan Zhang (张祖瀚),China,757
Eddy Deturche,France,757
Avetik Movsesyan,Russia,757
Emerson Shawara,Canada,756
Matthew Shay,USA,756
Lim Chun Yik,Malaysia,756
Nikolas Haramis,USA,756
Zhoupeng Yang (杨周澎),China,756
Michael Muething,USA,756
Taku Yanai (矢内拓),Japan,756
Max Xiong (熊锐明),China,755
Robert Yau,United Kingdom,755
Ryan Wang,USA,755
Timofey Bozhko-Dombrovskii,Russia,755
Michael (謝富亦),Indonesia,755
Igor Wojciech Wawrzynski,Poland,755
William Tanuwijaya,Indonesia,755
Wilhelm Kilders,Germany,755
Bryan Gan Tze Yang,Malaysia,754
Vladyslav Zhydkov (Владислав Жидков),Ukraine,754
Yap Jia Yang,Malaysia,754
Bryan Eng,Australia,754
Jorge Luis Castillo Carrasco,Mexico,754
Santino Maiorino,USA,754
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,754
Ianis Costin Chele,Romania,754
Brodie D. Cheater,Australia,753
Karin Iwano,Japan,753
Katie Crouse,Canada,753
Sam Adams,USA,753
Alanna Cooney,USA,753
Pavel Raschetov (Павел Расчетов),Kazakhstan,753
Alexander Kushnarev (Александр Кушнарев),Russia,752
Islam Kitiev,Russia,752
Roy Yue,USA,752
Jean-Luc Grijt,Netherlands,752
Manuel Prieto de Antón,Spain,752
Matthew Prestwich,United Kingdom,751
Muhtasim Al Farabi,Bangladesh,751
Ekaterina Chistoedova (Екатерина Чистоедова),Russia,751
Eli Jay,United Kingdom,751
Tyler Gee,USA,751
Nikita Popkov,Russia,751
Alvaro Haidar Ersha,Indonesia,751
Xingkai Yin (尹星凯),China,750
Gabriel Brasileiro Vanderlei Rodrigues da Costa,Brazil,750
Jingpeng Wu (吴劲芃),China,750
Oleksii Lukin (Олексій Лукін),Ukraine,750
Will Russo,USA,750
Jérôme Fréguin,Canada,749
Valerio Raimondi Vallesi,Italy,749
Elvin Thorsen,Sweden,749
Travis Burkett,USA,749
Felipe André de Oliveira Guerra,Brazil,749
Mustafa Berke Özcan,Turkey,749
Jacob Joshi,Australia,749
Stepan Kobelev (Степан Кобелев),Russia,749
Nikolay Pavlenko (Николай Павленко),Russia,749
Santiago Arevalo,Uruguay,749
Myka Peterson,USA,749
Nathan Quan,USA,749
Munes Ameen Mohammad Abd Elhaq,Palestine,748
Jakub Pietrzyk,Poland,748
Yizhuo Yan (严一卓),China,748
Chi-Yu Li (李其祐),Taiwan,748
Onur Gürsoy,Turkey,748
Vilius Čirgelis,Lithuania,748
Brandon Manke,USA,747
Denis Gorchakov,Russia,747
Owen Chester,USA,747
Luke Van Laningham,USA,746
Jensen Belen-Brown,Canada,746
Miguel Ángel Hernández,Panama,746
Jacob Shum,Canada,746
Gianfranco Camones Caycho,Peru,746
Thiago Henrique Jardim Cardoso,Brazil,746
Alex Taylor,New Zealand,745
Kari Hyttinen,Finland,745
Amogh Adluri,USA,745
Daniel Alejandro Cruz Tunubalá,Colombia,745
Qiyu Zhang (张淇奥),China,745
Milan Nikiforov,Kazakhstan,745
Shih-Yu Yang (楊仕宇),Taiwan,744
Takayuki Tanaka (田中隆喜),Japan,744
Kristiāns Pietkuns,Latvia,744
Vianne Chang,Canada,744
Jinxuan Ni (倪锦旋),China,744
Cezary Mach,Poland,744
Yunke Zhang (张云柯),China,744
Szymon Kasprzycki,Poland,743
Ivan Vanek,USA,743
Dilmar Rakhatov (Дильмар Рахатов),Kazakhstan,743
Aiden Dajun Kim,Canada,743
Pedro Henrique de Jesus Silva,Brazil,742
Paolo Resta,Italy,742
Daniel Suh,USA,742
Sarah Young,USA,742
Munkhdelger Shinekhuu,Mongolia,742
Valeriia Volova (Валерія Волова),Ukraine,741
Aiden Krog,Australia,741
Felipe Cardim,Brazil,741
Daniel Heberg Jørgensen,Denmark,741
Yuvraj Agarwal,India,741
Sebastián Morón Mariscal,Bolivia,741
Lucas Buckley,Australia,741
Christopher J. Yuh,USA,740
Jaemin Chang (장재민),Korea,740
Scott Weston,USA,740
Clément Burgevin,France,740
Tianze Liu,China,740
Artem Kapustinskiy (Артем Капустинский),Russia,739
Yue Xin (辛岳),China,739
Brayden Gordley,USA,738
Benjamin Warry,Australia,738
Callum O'Riley,Canada,738
Zihan Wang (王子涵),China,738
Anjie Zhao (赵安洁),China,738
Daniel Gracia Ortiz,Spain,738
Igor Kaigalov,Russia,737
Mo Zhou (周沫),China,737
Joe Yang,USA,737
Asanali Zhanabayev (Асанали Жанабаев),Kazakhstan,737
Ronan de Rooij,Netherlands,737
Sergey Shitov,Russia,737
Eleanor Sinnott,United Kingdom,737
Johannes Knudsen,Sweden,737
Andrey Kolevatykh (Андрей Колеватых),Russia,737
Oscar Yakovlev (Оскар Яковлев),Russia,737
Beau Broughton,New Zealand,737
Andy Le,Australia,736
Ben Fraher,USA,736
Lucas Belcher,New Zealand,736
Bartosz Miecznikowski,Poland,736
Maksim Zemtšihhin,Estonia,736
Michał Woliński,Poland,736
Vladislav Syrov,Russia,736
Asadbek Kodirjonov,Uzbekistan,736
Steven Wintringham,USA,735
Jadon Castillo,USA,735
Mohammad Mehrab Hosan,Bangladesh,735
Anton Mikhailik (Антон Михайлик),Russia,735
Trent Douglass,USA,735
Leo Bora Bozkir,Turkey,735
Edward Xie,USA,735
William Klauer,USA,735
Evgenii Loginov,Russia,735
Brendan White,USA,734
LianCheng Guo,Canada,734
Maxwell Strayhorn,USA,734
Caleb Hall,New Zealand,734
Tue Jepsen,Denmark,734
Aidan Doyle,USA,734
Jan van Dorst,Netherlands,733
Seon Byun,Korea,733
Ting Sheng Bao Yang,Spain,733
Yoav Eynon,Australia,733
Yibo Wang (王奕博),China,733
Dmitry Korolev,Russia,733
Stepan Ushakov (Степан Ушаков),Russia,733
Haohan Zheng (郑皓涵),China,733
Nathan Sims,USA,732
Nathan Miles,USA,732
Artem Kulikov (Артём Куликов),Russia,732
Liam Yu,Canada,731
Li Chak Kwan (李澤堃),Hong Kong,731
Jiun-Ze Chen (陳鈞澤),Taiwan,731
Maxim Brednev (Максим Бреднев),Russia,731
Karina Ermakova (Карина Ермакова),Russia,731
Dylan Beetge,Australia,731
Will Cerne,USA,731
Zachary Johnson,USA,731
Aidan Lenton,New Zealand,731
James Ellis Nale V,USA,731
Yu-Hsuan Chang (張祐瑄),Taiwan,731
José Alejandro Farfán Romero,Colombia,730
Raffaele Pascazio,Italy,730
Christian Manuel de Lange,New Zealand,730
Sergio Minaya Pimentel,Peru,730
Yuxuan Pan (潘宇轩),China,730
Jack Maddigan,New Zealand,730
Andrew Reid,Australia,729
Virgile Perrot,France,729
Dominik Ostas,Poland,729
Nicholas Roberts,USA,729
Keith Jackman,Ireland,729
Danila Rogozhnikov (Данила Рогожников),Russia,729
Alexander Cohen,USA,729
Alexander Tosting,Sweden,729
